scenario,period,cache_index,cache_pallet_index,cache_x,cache_y,service_workstation_index,inventory_before,inventory_after
task1_cache,10,3,38,12,16,14,0.00000000,0.00000000
task1_cache,10,4,62,9,9,2,0.00000000,0.00000000
task1_cache,10,5,70,20,5,3,0.00000000,0.00000000
task1_cache,10,6,73,17,9,3,0.00000000,0.00000000
task1_cache,10,7,101,12,5,2,0.00000000,0.00000000
task1_cache,10,8,115,26,13,9,0.00000000,0.00000000
task1_cache,10,9,120,5,15,12,12.00000000,0.00000000
task1_cache,11,0,6,21,16,15,122.00000000,2.00000000
task1_cache,11,1,14,5,6,0,0.00000000,0.00000000
task1_cache,11,2,35,24,8,8,0.00000000,0.00000000
task1_cache,11,3,38,12,16,14,0.00000000,0.00000000
task1_cache,11,4,62,9,9,2,0.00000000,0.00000000
task1_cache,11,5,70,20,5,3,0.00000000,0.00000000
task1_cache,11,6,73,17,9,3,0.00000000,0.00000000
task1_cache,11,7,101,12,5,2,0.00000000,0.00000000
task1_cache,11,8,115,26,13,9,0.00000000,0.00000000
task1_cache,11,9,120,5,15,12,0.00000000,0.00000000
task1_cache,12,0,6,21,16,15,2.00000000,0.00000000
task1_cache,12,1,14,5,6,0,0.00000000,0.00000000
task1_cache,12,2,35,24,8,8,0.00000000,0.00000000
task1_cache,12,3,38,12,16,14,0.00000000,0.00000000
task1_cache,12,4,62,9,9,2,0.00000000,0.00000000
task1_cache,12,5,70,20,5,3,0.00000000,0.00000000
task1_cache,12,6,73,17,9,3,0.00000000,0.00000000
task1_cache,12,7,101,12,5,2,0.00000000,0.00000000
task1_cache,12,8,115,26,13,9,0.00000000,0.00000000
task1_cache,12,9,120,5,15,12,0.00000000,0.00000000
task1_partition_cache,1,0,6,21,16,15,0.00000000,2.00000000
task1_partition_cache,1,1,14,5,6,0,0.00000000,129.00000000
task1_partition_cache,1,2,35,24,8,8,0.00000000,115.00000000
task1_partition_cache,1,3,38,12,16,14,0.00000000,225.00000000
task1_partition_cache,1,4,62,9,9,2,0.00000000,87.00000000
task1_partition_cache,1,5,70,20,5,3,0.00000000,101.00000000
task1_partition_cache,1,6,73,17,9,3,0.00000000,0.00000000
task1_partition_cache,1,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,1,8,115,26,13,9,0.00000000,84.00000000
task1_partition_cache,1,9,120,5,15,12,0.00000000,44.00000000
task1_partition_cache,2,0,6,21,16,15,2.00000000,33.00000000
task1_partition_cache,2,1,14,5,6,0,129.00000000,9.00000000
task1_partition_cache,2,2,35,24,8,8,115.00000000,0.00000000
task1_partition_cache,2,3,38,12,16,14,225.00000000,288.00000000
task1_partition_cache,2,4,62,9,9,2,87.00000000,197.00000000
task1_partition_cache,2,5,70,20,5,3,101.00000000,158.00000000
task1_partition_cache,2,6,73,17,9,3,0.00000000,0.00000000
task1_partition_cache,2,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,2,8,115,26,13,9,84.00000000,176.00000000
task1_partition_cache,2,9,120,5,15,12,44.00000000,44.00000000
task1_partition_cache,3,0,6,21,16,15,33.00000000,216.00000000
task1_partition_cache,3,1,14,5,6,0,9.00000000,167.00000000
task1_partition_cache,3,2,35,24,8,8,0.00000000,0.00000000
task1_partition_cache,3,3,38,12,16,14,288.00000000,231.00000000
task1_partition_cache,3,4,62,9,9,2,197.00000000,169.00000000
task1_partition_cache,3,5,70,20,5,3,158.00000000,38.00000000
task1_partition_cache,3,6,73,17,9,3,0.00000000,0.00000000
task1_partition_cache,3,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,3,8,115,26,13,9,176.00000000,56.00000000
task1_partition_cache,3,9,120,5,15,12,44.00000000,44.00000000
task1_partition_cache,4,0,6,21,16,15,216.00000000,96.00000000
task1_partition_cache,4,1,14,5,6,0,167.00000000,47.00000000
task1_partition_cache,4,2,35,24,8,8,0.00000000,32.00000000
task1_partition_cache,4,3,38,12,16,14,231.00000000,148.00000000
task1_partition_cache,4,4,62,9,9,2,169.00000000,49.00000000
task1_partition_cache,4,5,70,20,5,3,38.00000000,38.00000000
task1_partition_cache,4,6,73,17,9,3,0.00000000,0.00000000
task1_partition_cache,4,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,4,8,115,26,13,9,56.00000000,56.00000000
task1_partition_cache,4,9,120,5,15,12,44.00000000,44.00000000
task1_partition_cache,5,0,6,21,16,15,96.00000000,96.00000000
task1_partition_cache,5,1,14,5,6,0,47.00000000,114.00000000
task1_partition_cache,5,2,35,24,8,8,32.00000000,32.00000000
task1_partition_cache,5,3,38,12,16,14,148.00000000,60.00000000
task1_partition_cache,5,4,62,9,9,2,49.00000000,49.00000000
task1_partition_cache,5,5,70,20,5,3,38.00000000,156.00000000
task1_partition_cache,5,6,73,17,9,3,0.00000000,0.00000000
task1_partition_cache,5,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,5,8,115,26,13,9,56.00000000,215.00000000
task1_partition_cache,5,9,120,5,15,12,44.00000000,162.00000000
task1_partition_cache,6,0,6,21,16,15,96.00000000,165.00000000
task1_partition_cache,6,1,14,5,6,0,114.00000000,81.00000000
task1_partition_cache,6,2,35,24,8,8,32.00000000,32.00000000
task1_partition_cache,6,3,38,12,16,14,60.00000000,60.00000000
task1_partition_cache,6,4,62,9,9,2,49.00000000,49.00000000
task1_partition_cache,6,5,70,20,5,3,156.00000000,123.00000000
task1_partition_cache,6,6,73,17,9,3,0.00000000,57.00000000
task1_partition_cache,6,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,6,8,115,26,13,9,215.00000000,95.00000000
task1_partition_cache,6,9,120,5,15,12,162.00000000,42.00000000
task1_partition_cache,7,0,6,21,16,15,165.00000000,114.00000000
task1_partition_cache,7,1,14,5,6,0,81.00000000,81.00000000
task1_partition_cache,7,2,35,24,8,8,32.00000000,81.00000000
task1_partition_cache,7,3,38,12,16,14,60.00000000,60.00000000
task1_partition_cache,7,4,62,9,9,2,49.00000000,49.00000000
task1_partition_cache,7,5,70,20,5,3,123.00000000,3.00000000
task1_partition_cache,7,6,73,17,9,3,57.00000000,57.00000000
task1_partition_cache,7,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,7,8,115,26,13,9,95.00000000,75.00000000
task1_partition_cache,7,9,120,5,15,12,42.00000000,42.00000000
task1_partition_cache,8,0,6,21,16,15,114.00000000,0.00000000
task1_partition_cache,8,1,14,5,6,0,81.00000000,0.00000000
task1_partition_cache,8,2,35,24,8,8,81.00000000,0.00000000
task1_partition_cache,8,3,38,12,16,14,60.00000000,0.00000000
task1_partition_cache,8,4,62,9,9,2,49.00000000,0.00000000
task1_partition_cache,8,5,70,20,5,3,3.00000000,0.00000000
task1_partition_cache,8,6,73,17,9,3,57.00000000,0.00000000
task1_partition_cache,8,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,8,8,115,26,13,9,75.00000000,0.00000000
task1_partition_cache,8,9,120,5,15,12,42.00000000,0.00000000
task1_partition_cache,9,0,6,21,16,15,0.00000000,0.00000000
task1_partition_cache,9,1,14,5,6,0,0.00000000,0.00000000
task1_partition_cache,9,2,35,24,8,8,0.00000000,0.00000000
task1_partition_cache,9,3,38,12,16,14,0.00000000,0.00000000
task1_partition_cache,9,4,62,9,9,2,0.00000000,0.00000000
task1_partition_cache,9,5,70,20,5,3,0.00000000,0.00000000
task1_partition_cache,9,6,73,17,9,3,0.00000000,0.00000000
task1_partition_cache,9,7,101,12,5,2,0.00000000,0.00000000
task1_partition_cache,9,8,115,26,13,9,0.00000000,0.00000000
task1_partition_cache,9,9,120,5,15,12,0.00000000,0.00000000
