pallet_index,pallet_id,workstation_index,quantity,primary_station
124,10124,14,61.01021180,14
125,10125,12,34.57609273,12
125,10125,13,2.42388914,12
126,10126,9,16.37109828,9
126,10126,10,13.74435641,9
126,10126,11,9.88453168,9
127,10127,12,75.14350870,12
127,10127,13,3.85648620,12
128,10128,2,76.99999507,2
129,10129,12,48.72758038,12
129,10129,13,3.27241181,12
130,10130,0,46.99999136,0
131,10131,5,42.99999492,5
132,10132,13,31.00001180,13
133,10133,9,17.83013055,15
133,10133,10,16.01844921,15
133,10133,11,10.75734653,15
133,10133,15,18.26043770,15
133,10133,16,12.52137853,15
133,10133,17,11.61224669,15
134,10134,6,8.86095357,8
134,10134,7,45.93694384,8
134,10134,8,49.20209642,8
135,10135,9,10.17099381,9
135,10135,10,9.51766597,9
135,10135,11,7.11740122,9
135,10135,15,9.69851361,9
135,10135,16,7.79752186,9
135,10135,17,7.69788299,9
136,10136,13,2.38901962,14
136,10136,14,25.61096059,14
137,10137,9,7.72270575,9
137,10137,10,7.07210499,9
137,10137,11,5.76027649,9
137,10137,15,7.30769155,9
137,10137,16,6.10934296,9
137,10137,17,6.02785248,9
138,10138,9,8.93347726,9
138,10138,10,8.22380130,9
138,10138,11,6.42158892,9
138,10138,15,8.59530066,9
138,10138,16,6.97645125,9
138,10138,17,6.84936077,9
139,10139,3,22.77190628,3
139,10139,4,6.15392173,3
139,10139,5,5.07693509,3
139,10139,6,4.99721798,3
