pallet_index,workstation_index,quantity
65,6,4.66082914
66,2,27.99999631
67,0,42.99999692
68,3,26.93900479
68,4,5.13103897
68,5,3.92995280
69,3,7.25977553
69,4,3.27647268
69,5,2.93308869
69,6,3.29491806
69,7,4.81155277
69,8,4.42418744
70,3,147.92275475
70,4,19.96742568
70,5,14.10981738
71,12,55.55095209
71,13,3.44904516
72,12,43.44194679
72,13,2.55804997
73,3,104.60600982
73,4,7.90955232
73,5,5.90264167
73,6,4.63231619
73,7,11.57766651
73,8,17.37181011
74,4,65.68483475
74,5,26.31516333
75,2,32.99999624
76,9,10.05807182
76,10,9.80743542
76,11,7.35919360
76,16,7.97799619
76,17,7.79729704
77,0,37.10152999
77,12,41.36816476
77,13,2.53030194
78,3,23.42785357
78,4,4.85437886
78,5,4.15517734
78,6,4.42248856
78,7,8.30248026
78,8,7.83761784
79,11,14.44735089
79,15,57.96697526
79,16,25.73703324
79,17,18.84863733
80,0,60.99999734
81,11,8.19438746
81,15,9.62033980
81,16,8.02274409
81,17,8.16252472
82,2,186.99999703
83,3,11.24465741
83,4,4.07230925
83,5,3.54421107
83,6,3.90532121
83,7,6.33049305
83,8,5.90300460
84,0,29.99999694
85,13,29.99999728
86,2,61.99999460
87,10,8.74835494
87,11,6.92498793
87,15,8.27480616
87,16,7.03938150
87,17,7.01246546
88,2,37.99999557
89,3,8.04908157
89,4,3.46818974
89,5,3.09428109
89,6,3.46436651
89,7,5.16214637
89,8,4.76193041
90,5,29.35586293
90,6,29.64413517
91,9,10.59212915
91,10,9.85528082
91,11,6.85746478
91,15,10.55509874
91,16,8.30676352
91,17,7.83325557
92,4,5.81017479
92,5,4.80018016
92,6,5.25144333
92,7,10.62970086
92,8,9.50849733
93,13,2.54501128
93,14,43.45498584
94,2,11.40916131
94,13,1.81917440
94,14,12.77165861
95,12,24.05290981
95,13,1.94708708
96,13,3.22212815
96,14,34.77786922
97,9,8.57322077
97,10,8.24862318
97,11,6.14108076
97,15,8.37844223
97,16,6.94098009
97,17,6.71764767
98,0,24.23888757
98,12,26.37191348
98,13,2.38919544
99,3,19.27400882
99,4,4.99233731
99,5,4.34746921
99,6,4.76316866
99,7,8.48460922
99,8,8.13840404
100,12,47.27875656
100,13,3.72124102
101,2,86.99999674
102,12,30.05129895
102,13,2.94869847
103,13,2.16151834
103,14,35.83847396
104,13,1.94966080
104,14,25.05033634
105,10,8.43241704
105,11,6.66163729
105,15,8.20072877
105,16,6.90985335
105,17,6.79535878
106,2,52.99999601
107,3,18.03715406
107,4,5.02746650
107,5,3.93537614
108,2,29.99999282
109,3,17.48387851
109,4,4.96694038
109,5,4.08334813
109,6,4.46582921
110,13,1.03657087
110,14,31.96342603
111,9,24.25097187
111,10,20.76409747
111,11,12.77670033
111,17,14.20822538
112,13,3.56905628
112,14,59.43094073
113,11,13.70195421
113,15,22.02832457
113,16,15.72803072
113,17,14.54168739
114,2,40.65467296
114,13,1.89975997
114,14,81.44556095
115,9,37.10295111
115,10,29.59893346
115,11,17.29811192
116,1,60.99995500
117,9,11.17737628
117,10,10.53964051
117,11,7.58680433
117,15,10.77042393
117,16,8.62250054
117,17,8.30325058
118,11,21.48368103
118,16,25.85671157
118,17,22.65960427
119,12,29.54901176
119,13,2.45098475
120,12,113.58159128
120,13,4.41840650
121,9,6.03277439
121,10,6.45646245
121,11,5.72460319
121,16,5.30784650
121,17,5.47830849
122,3,33.97885067
122,4,5.40034433
122,5,4.62781187
122,6,4.90856600
122,7,9.65339956
122,8,9.43102446
123,0,30.75394715
123,12,33.77220144
123,13,2.47384802
124,2,39.71906294
124,13,2.40501248
124,14,77.87592066
125,12,34.68387790
125,13,2.31611811
126,9,14.96861476
126,10,14.60400040
126,11,10.42737933
127,12,74.90647867
127,13,4.09351915
128,2,76.99999729
129,12,48.11960471
129,13,3.88039305
130,0,46.99999695
131,5,42.99999814
132,13,30.99999705
133,9,18.52870644
133,10,15.26912372
